,E,Eh,El,ID,Th,Tl,index,log_B0
0,-0.125767060625,-0.103599142606,-0.0628835303124,1.0,42.3290976127,38.0289107341,0.0,6.71296296296e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,2.0,42.3290976127,39.5856118387,0.0,2.54282407407e-05
0,-0.125767060625,-0.103599142606,-0.0628835303124,3.0,42.3290976127,37.6586795733,0.0,1.15740740741e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,4.0,42.3290976127,37.6586795733,0.0,2.31481481481e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,5.0,42.3290976127,37.6586795733,0.0,5.78703703704e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,6.0,42.3290976127,38.2798024427,0.0,7.40740740741e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,7.0,42.3290976127,38.2798024427,0.0,3.00925925926e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,8.0,42.3290976127,37.6586795733,0.0,4.90916666667e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,9.0,42.3290976127,37.6586795733,0.0,1.07025462963e-11
0,-0.125767060625,-0.103599142606,-0.0628835303124,10.0,42.3290976127,37.6586795733,0.0,2.42178228e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,11.0,42.3290976127,37.6586795733,0.0,1.77584751e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,12.0,42.3290976127,37.6586795733,0.0,2.4091074e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,13.0,42.3290976127,37.6586795733,0.0,1.34842239e-07
0,-0.125767060625,-0.103599142606,-0.0628835303124,14.0,42.3290976127,37.0573913796,0.0,7.4222865e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,15.0,42.3290976127,37.6586795733,0.0,2.1186414e-08
0,-0.125767060625,-0.103599142606,-0.0628835303124,16.0,42.3290976127,38.2798024427,0.0,8.50456995556e-06
0,-0.125767060625,-0.103599142606,-0.0628835303124,17.0,42.3290976127,38.2798024427,0.0,1.05591595722e-05
0,-0.125767060625,-0.103599142606,-0.0628835303124,18.0,42.3290976127,38.2798024427,0.0,3.27178841444e-05
0,-0.125767060625,-0.103599142606,-0.0628835303124,19.0,42.3290976127,37.0573913796,0.0,0.0002319327
0,-0.125767060625,-0.103599142606,-0.0628835303124,20.0,42.3290976127,37.0573913796,0.0,0.0002107199
