,ID,B0,E,Eh,El,Th,Tl,AIC,chi-squared,r-squared,status
0,1,1060507.3669123806,2.0429744562733276e-09,0.8852663545911121,2.9058392242866384,214.70015796070882,383.6986649199553,137.87233525684587,50.66663036609003,-0.1331676731464715,C
0,2,1108641.79507118,4.1099479375361625e-10,0.8457966038075413,3.102775314142921,212.9008671365081,397.29379648010405,148.520063121942,60.750618596058096,-0.1372486847082659,C
0,3,,,,,,,,,,NC
0,4,2285055.2772242124,6.596716506379607e-10,12.121525600404434,0.9663994705561445,389.6174546354232,218.4789018922783,141.62930465131032,41.911340327294766,-0.12703815173330724,C
0,5,2789867.177340581,1.5235166461735616e-09,1.9668892090445507,0.9817234113359481,418.3963807713449,218.9295564477736,146.54094606406443,44.7417659921662,-0.12939297357882484,C
0,6,2537484.682261034,2.1119141990766366e-09,1.9319699924007803,0.8842233817520133,399.72421679196464,214.82222100342594,158.6416826357004,57.80226759383343,-0.13625007589733262,C
0,7,,,,,,,,,,NC
0,8,,,,,,,,,,NC
0,9,,,,,,,,,,NC
0,10,1.4400740155906533e-08,14.53368302042111,43.62804634109623,14.168351878937036,-194.61192896293426,288.15163931453986,-106.14710227861902,0.2067312810389823,0.8177414849172435,C
0,11,0.00017576801143892595,13.503900134512854,0.0002087197252169659,13.46750913269233,236.21232434938005,283.5648104039145,-222.12717862977271,0.031371610921409374,0.9646673349785914,C
0,12,0.0004537872594794212,17.070461045433728,2.3576070713474353,16.932805756283884,392.70366382858174,282.704436334706,-212.01300121953824,1.5125743840374888,0.4299527745674173,C
0,13,2.0716866021147924,15.139982405934923,14.852883973061608,16.468745224369886,279.064835308902,282.3421639613179,-280.8849893452188,0.011692040808873773,0.9936532570972824,C
0,14,,,,,,,,,,NC
0,15,,,,,,,,,,NC
0,16,25561605.916364435,28.65170052590941,2.9257047272873287,28.415035052299892,409.23580350163905,277.055256128003,-180.23694753387343,0.4001882544304717,0.735024782963754,C
0,17,0.0624092099640865,1.8573806936927895e-09,0.46847917569948594,0.46914132986738677,220.60938993031218,245.67629457144508,-83.31519152997001,6.143842488697914,0.1257106827693265,C
0,18,0.008349140452887704,3.3340374905321823e-10,0.394424725222013,0.3943389323389539,206.71512897680628,226.91267301745876,-109.46356792600668,7.3847976872920364,0.03577833711476408,C
0,19,0.007051073557238219,4.688585075740548e-10,0.3267407105431408,0.32681529671379606,206.4928612968772,207.0747541934476,-100.78577865335933,10.720343698191849,-0.04948979515124696,C
0,20,0.019580847924013378,1.7471625897824694e-05,0.48244291121557414,2.436659669500339,211.68310233652642,344.83098773316067,-108.00035201729213,6.276331883144982,0.0928111221064487,C
0,21,0.006900462705049959,2.884406047343191e-10,0.4052714449699861,0.4053298274917594,215.68767907173492,215.1293427882038,-107.87659108646605,8.467587467250857,0.014574687963320287,C
0,22,0.006687341743805808,0.20557629032218205,3.943912254386495,0.00023441379674338236,511.87773598540684,557.8786698845726,-94.58691717162091,18.49937448661414,-0.11890705405350399,C
0,23,0.0005560568083815554,0.2976998856452906,3.597951656794419,2.6969794289823614,593.6277275068853,556.382109265811,-133.6089075209391,23.64081625874213,-0.124916178783536,C
0,24,0.00031836666909779154,0.29334925264010203,2.4437551967986693,2.5789591055294827,560.4910071132721,528.0900883861568,-148.05945230283257,23.079268757307332,-0.12252762545178353,C
