,ID,B0,E,Eh,El,Th,Tl,AIC,chi-squared,r-squared,status
0,1,,,,,,,,,,NC
0,2,9.408780375731281,10.873649131821649,9.905221280636113,13.402609861360359,272.9723149896134,276.7327126137937,-498.6647696655213,0.4256652680859726,0.8489751011994158,C
0,3,,,,,,,,,,NC
0,4,,,,,,,,,,NC
0,5,,,,,,,,,,NC
0,6,,,,,,,,,,NC
0,7,2.492711849400031e-05,0.40910820916694046,2.2324329380420287,0.0003935855565659896,311.1521365645692,379.1386606828601,-226.48869484455003,0.03237096873907174,0.9682992085805467,C
0,8,,,,,,,,,,NC
0,9,6.0204179419542925e-09,4.291060568059646,15.981190514734891,3.785922811676601,308.79683102007795,294.71150698938357,-166.40624444800778,0.008282308384112681,0.9962583830630399,C
0,10,5.034967207606655e-07,1.4034052910899302,12.603460825482648,1.3893125747702548,320.3068011115314,305.03269749982127,-647.4349129447013,0.27320520341761523,0.9889330580911603,C
0,11,,,,,,,,,,NC
0,12,1.528455405130913e-06,0.8560729060544792,33.59149452457797,2.4954564177866985,347.9409618513807,340.84524182455556,-145.25341929648778,0.01482730248562003,0.9805021913282037,C
0,13,,,,,,,,,,NC
0,14,,,,,,,,,,NC
0,15,,,,,,,,,,NC
0,16,,,,,,,,,,NC
0,17,1.0806670780461047e-06,2.733027148866619,6.067631023689941,2.5213208463234413,312.4178587984474,294.5971445111145,-436.78203159731817,0.004721851040459241,0.9960681411577601,C
0,18,1.2554325851121817e-05,1.9561013850453106,3.3019253997679243e-09,1.6973439322091401,1192.2076784538428,288.93610931196787,-382.588156105446,0.003151938928875648,0.9976353764591622,C
0,19,2.404334966676913e-07,4.504612327758294,6.113043526226417,4.15114592422149,301.75723119201393,291.91001406008667,-434.67913205686625,0.0037072040654008358,0.9950164536441071,C
0,20,4.71355409437102e-05,0.8730196785186952,4.100399013656521,0.6217226981612596,322.58820859167025,285.9689158389383,-439.65289979199144,0.007389697177340358,0.9922505624677114,C
0,21,2.3789902311888156e-05,1.2729243516231388,7.426462775682571,1.04493004371693,317.9487348887249,290.4174144164514,-363.74301835099544,0.0018898599569030301,0.9982004368962957,C
0,22,2.554941552634915e-05,1.1578847872984945,2.918634883888257,0.9180462391267177,317.88409359720015,290.3164842407279,-494.3493077794893,0.0027996648083833606,0.9981776064068171,C
0,23,5.926526194866e-05,0.42861257533361163,1.8246384049190505,0.0005264825535018502,318.5707881138057,334.0690067840333,-410.4738290970089,0.02266453523597985,0.9769206968981482,C
0,24,6.244796435628253e-05,0.22431322307191914,2.8216272104589946,0.05857318980469084,592.884422921172,-3032.6323236050107,-378.2504191822955,0.27901262141030697,0.7370231876751814,C
0,25,5.617353320941376e-06,2.1689554911147155,1.8955998161352752,4.334840001102149,291.41144423458303,309.387708415282,-371.82053939996706,0.007070876108900261,0.9894697151713863,C
0,26,5.053894207285303e-05,0.22889892995428518,3.654573943985752,2.609933476354979,593.8186361586761,-458.97133688116355,-381.9204556271256,0.2582372407123059,0.7584787511721083,C
0,27,1.6021347043482237e-05,1.1107616092881458,4.4016788999038,0.9571908909159519,319.77565641839686,296.3712800183478,-391.2757998573685,0.010488731300115038,0.990327033378611,C
0,28,2.877239502674378e-05,0.7905552615964002,1.3050357895671993e-05,1.0718233579279164,322.97880556112744,305.3046268699946,-402.7131668504563,0.026969279194255694,0.9712530766157634,C
0,29,4.152581930805255e-05,0.5365612114944884,1.8038880727639293,0.00022535422560987506,319.33487797236336,316.15458131495916,-427.13953629051935,0.022302163805717843,0.9811434537647776,C
