,ID,B0,E,Eh,El,Th,Tl,AIC,chi-squared,r-squared,status
0,1,,,,,,,,,,NC
0,2,,,,,,,,,,lessX
0,3,,,,,,,,,,NC
0,4,,,,,,,,,,NC
0,5,0.046258833926042575,2.4204169973900798,0.0038635015051946553,2.670622915389208,361.26616323179115,288.48304270561215,-79.15689151992726,0.04948172939198178,0.9510345040993309,C
0,6,,,,,,,,,,lessX
0,7,,,,,,,,,,lessX
0,8,1.5601802476712496,1.0525343353968784,4.042266328124745,3.1608891953725626,304.06828128112,369.194120040008,11.685432800417452,0.07311792882826258,0.969864870569655,C
0,9,7.675998260760924,6.041996505683225,7.428575769539654,5.174687271367126,286.80521440403123,280.52246419034213,-16.64922178053889,0.006963877843925489,0.9942891337012938,C
0,10,0.00026944751124324817,0.7826547976104516,24.260853419990266,1.0266241106741285,308.2632999802894,297.4699572540203,-115.04872792064289,0.014144232389253775,0.9779983916705868,C
0,11,0.00020465540216418887,0.2576922860169253,15.956562005855243,8.114134728949946,417.83366327974863,351.4106449615962,-94.75651735451538,0.7675239512770047,0.19664371830603433,C
0,12,0.00023171230771601437,0.3474507426658746,2.3049901174948615,2.3044569495069407,333.85526784553633,309.03500671947734,-111.74278608194066,0.03500784188280225,0.8892209360845703,C
0,13,,,,,,,,,,NC
0,14,9.584805817453024e-05,0.1444178660152653,2.6366779845856825,0.0037285023409341367,309.69883031112283,333.69467985529286,-145.32719502138775,4.350809340859102,0.060178651622824986,C
0,15,,,,,,,,,,NC
0,16,,,,,,,,,,NC
0,17,4.406754255170675e-05,0.4639976365307603,1.513348955389572,4.409439293687346,304.05414066118055,516.5447549687415,-163.12130313539404,0.03644331852067901,0.9769054768825278,C
0,18,9.712763504876598e-05,0.3063197055797915,7.333221800778686,4.188571769992425,394.7095159044918,356.0591249187592,-135.71042330443044,0.23126136646486728,0.7454122803663075,C
0,19,5.0695822036317395e-05,0.4113186857327331,8.613689310485457,0.00013212473083390464,337.51585999732816,407.3295805658075,-193.79754580028242,0.025720207808683726,0.9953248861783924,C
0,20,2.1598786566157102e-05,0.25252342603324873,4.679405953494631,3.6820427077645874,468.5816100558526,489.3220625159105,-179.03802749886626,0.18151509428211965,0.7383218954586954,C
0,21,6.785190756142256e-05,0.8634008676930929,0.5511774180993161,0.5513953030274026,304.6381836555456,294.7606741988754,-160.222960890873,0.014575660201917176,0.998348062963087,C
0,22,2.1500902565030344e-05,0.5951981390704055,1.5604952075388425,3.1381755974829764,309.17681601826945,402.6779310499672,-164.96114509446082,0.11669567152400785,0.9891744153896248,C
