index,GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,AverageVolume,VolumeUnit,Shape,Phylum,Sources,Notes
17,Natrinema pellirubrum,0.6,1.0,1.0,4.0,um,2.26e-19,2.88e-18,1.55e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.126
18,Natronobacterium gregoryi,0.5,0.7,10.0,15.0,um,1.93e-18,5.68e-18,3.81e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
19,Natronococcus occultus,1.0,2.0,,,um,5.24e-19,4.19e-18,2.36e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.124
20,Natronomonas pharaonis,0.8,0.8,2.0,3.0,um,8.71e-19,1.37e-18,1.12e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.120
22,Pyrococcus abyssi,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
23,Pyrococcus glycovorans,0.5,1.5,,,um,6.54e-20,1.77e-18,9.16e-19,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/49/4/ijs-49-4-1829.pdf?expires=1527181686&id=id&accname=guest&checksum=87D587FDE1E105484D7888033FBE0A80,
24,Stygiolobus azoricus,0.5,1.8,,,um,6.54e-20,3.05e-18,1.56e-18,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/41/4/ijs-41-4-495.pdf?expires=1527182331&id=id&accname=guest&checksum=029551415D53238C48C8655C4B176E60,
25,Thermococcus barophilus,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://www.ncbi.nlm.nih.gov/pubmed/10319455,
26,Thermococcus fumicolans,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/46/4/ijs-46-4-1113.pdf?expires=1527182709&id=id&accname=guest&checksum=C5389BAF1004A329EAF0BD65CDB650F3,
27,Thermococcus hydrothermalis,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://www.researchgate.net/publication/13992510_Thermococcus_hydrothermalis_sp_nov_a_New_Hyperthermophilic_Archaeon_Isolated_from_a_Deep-Sea_Hydrothermal_Vent,
28,Thermococcus siculi,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://link.springer.com/content/pdf/10.1007%2Fs007920050099.pdf,
